place;username;date;text;permalink
c3f37afa9efcf94b;mikereyes12;2016-11-15 00:32;"A least Trump is sticking to his guns. About being a racist. #Trump @realDonaldTrump #SteveBannon";https://twitter.com/mikereyes12/status/798307761146589184
c3f37afa9efcf94b;ianrivera;2016-11-14 23:01;". @Couchto5K Election and mourning over ... back at it. Need to be fit enough to outrun @realDonaldTrump 's minions.";https://twitter.com/ianrivera/status/798284837039652864
c3f37afa9efcf94b;VeroBear13;2016-11-14 22:01;"@realDonaldTrump is just chalk full of classiness. https:// twitter.com/ShaunKing/stat us/798236365762666496 …";https://twitter.com/VeroBear13/status/798269571216113668
c3f37afa9efcf94b;frederickwalser;2016-11-14 21:06;"@Ricer7878 @RealAlexJones @realDonaldTrump most seniors depend on Medicare. I started working at 12?";https://twitter.com/frederickwalser/status/798255896283516928
c3f37afa9efcf94b;Mcnst;2016-11-14 20:53;"@realDonaldTrump #ILoveThisCountry #MyPresident #NoMoreWars — a great crowd angle to the victory speach via @RT_COM https://www. youtube.com/watch?v=cL_wh- d1pP4 …";https://twitter.com/Mcnst/status/798252509215256576
c3f37afa9efcf94b;AmarNOMOBeard;2016-11-14 20:49;"@ComplexMag @iIlestVillain dude, it's a hoax by the Chinese. @realDonaldTrump got us.";https://twitter.com/AmarNOMOBeard/status/798251479266131968
c3f37afa9efcf94b;margaretjhowell;2016-11-14 20:34;"Encouraged Franklin's prayer for @realDonaldTrump going viral. http:// conservativetribune.com/franklin-graha m-prayer-trump/?utm_source=Facebook&utm_medium=Huckabee&utm_campaign=manualpost … #conservativetribune . Time for healing";https://twitter.com/margaretjhowell/status/798247687359492098
c3f37afa9efcf94b;BigDaddyCsp;2016-11-14 19:18;"I heard this some on tv & local people were asking & thinking what if @BernieSanders could had won the election also beat @realDonaldTrump ?";https://twitter.com/BigDaddyCsp/status/798228672733855744
c3f37afa9efcf94b;austinntx2016;2016-11-14 18:55;"@seanhannity @CNN @realDonaldTrump @brianstelter @CNNMoney Following First Presidential Debate & only appeared on FOXNews coincidence wakeup";https://twitter.com/austinntx2016/status/798222802096685056
c3f37afa9efcf94b;austinntx2016;2016-11-14 18:52;"@seanhannity @CNN @realDonaldTrump @brianstelter @CNNMoney The Donald Immediately Retreats to Sean Hannity Interview";https://twitter.com/austinntx2016/status/798222133201698816
c3f37afa9efcf94b;austinntx2016;2016-11-14 18:51;"@seanhannity @CNN @realDonaldTrump @brianstelter @CNNMoney Sean why did you endorse the Donald & also helped with preparations for debates ?";https://twitter.com/austinntx2016/status/798221730569474049
c3f37afa9efcf94b;jonathanbraden;2016-11-14 18:38;"@realDonaldTrump You made a god-damned fool of yourself in those debates and your supporters are mostly shit bags. Also, you got less votes!";https://twitter.com/jonathanbraden/status/798218613941473280
c3f37afa9efcf94b;frederickwalser;2016-11-14 18:31;"@Ricer7878 @RealAlexJones @realDonaldTrump Trump will loot the Treasury, Social Security & Medicare & make the Bushes seem amateurish";https://twitter.com/frederickwalser/status/798216787133403136
c3f37afa9efcf94b;frederickwalser;2016-11-14 18:29;"@RealAlexJones @realDonaldTrump pic.twitter.com/fAL0ajQ2PB";https://twitter.com/frederickwalser/status/798216319116054531
c3f37afa9efcf94b;dougom;2016-11-14 17:29;"@RickSantorum @realDonaldTrump @mike_pence @Reince Go away.";https://twitter.com/dougom/status/798201317219037184
c3f37afa9efcf94b;rjc411;2016-11-14 17:17;"Protest is fine but violence isn't. All sides should be denouncing that. Great to hear @realDonaldTrump say stop it. #heisourpresident https:// twitter.com/walshfreedom/s tatus/798188496573693952 …";https://twitter.com/rjc411/status/798198189300056065
c3f37afa9efcf94b;kt_szendrey;2016-11-14 15:35;"Ok chill @realDonaldTrump https:// twitter.com/jenniferspalll /status/798164678933446656 …";https://twitter.com/kt_szendrey/status/798172411766116352
c3f37afa9efcf94b;adamholz;2016-11-14 15:34;"@hugetiny @realDonaldTrump @politico Guess who the crash will be blamed on...";https://twitter.com/adamholz/status/798172356321669120
c3f37afa9efcf94b;HarqAlAda;2016-11-14 13:26;"End the @EPA and their wanton destruction of America's wildlife and ecology @realDonaldTrump";https://twitter.com/HarqAlAda/status/798140104661405697
c3f37afa9efcf94b;jdraina;2016-11-14 08:18;"@RockDAvignon @realDonaldTrump if he bails on HRC many supporters will be upset";https://twitter.com/jdraina/status/798062433181007872
c3f37afa9efcf94b;jdraina;2016-11-14 08:14;"@RockDAvignon @realDonaldTrump I hope he's just walking a fine line considering the protestors and will get to HRC early next year";https://twitter.com/jdraina/status/798061411406581760
c3f37afa9efcf94b;austinntx2016;2016-11-14 07:46;"@KellyannePolls @SenatorReid @FoxNewsSunday @realDonaldTrump Senator Reid knows the meaning of the word leader-The Donald can't spell LEADER";https://twitter.com/austinntx2016/status/798054516855898112
c3f37afa9efcf94b;dougom;2016-11-14 05:19;"@embeedub @liamstack Remedial government lessons, eh @realDonaldTrump ?";https://twitter.com/dougom/status/798017396229357568
c3f37afa9efcf94b;Rambobiggs;2016-11-14 04:45;"@Alpha6Phinsider @realDonaldTrump @packetsled a few news articles";https://twitter.com/Rambobiggs/status/798008898640674817
c3f37afa9efcf94b;EddieIII;2016-11-14 04:22;"@realDonaldTrump @MELANIATRUMP I'm a divided Democrat in Austin, TX. Old movie on tonight but true. Unite us. https:// m.youtube.com/watch?v=zhHjUO QdY3o …";https://twitter.com/EddieIII/status/798003267703869441
c3f37afa9efcf94b;Rambobiggs;2016-11-14 03:50;"This companies CEO threatened to Kill @realDonaldTrump with a sniper rifle. Let's expose this business @packetsled";https://twitter.com/Rambobiggs/status/797995075775000576
c3f37afa9efcf94b;boatymcboatfce;2016-11-14 03:35;"@realDonaldTrump you may be able to fool a lot of people, but the rest of us know America is better than this. #notmypresident #austin pic.twitter.com/82MqhJZw3l";https://twitter.com/boatymcboatfce/status/797991256588591104
c3f37afa9efcf94b;EllEyeEssEll;2016-11-14 03:22;"@BabsMistake Plot Twist: history books in 100 years have @realDonaldTrump down as one of the best presidents. Our generation's Kennedy?";https://twitter.com/EllEyeEssEll/status/797988166368198656
c3f37afa9efcf94b;ElaineBrown8;2016-11-14 02:33;"@realDonaldTrump @60Minutes "words out".";https://twitter.com/ElaineBrown8/status/797975780391354368
c3f37afa9efcf94b;austinntx2016;2016-11-14 02:23;"@brithume @realDonaldTrump @BernieSanders And please stay there. Fox must've really be in a pickle to put you back in prime-time.";https://twitter.com/austinntx2016/status/797973291625365505
c3f37afa9efcf94b;austinntx2016;2016-11-14 02:21;"@brithume @realDonaldTrump @BernieSanders You made the point perfectly Brit, because you have no clue you're lost in the woods! pic.twitter.com/AOH66qTUWS";https://twitter.com/austinntx2016/status/797972643467014148
c3f37afa9efcf94b;austinntx2016;2016-11-14 01:49;"@CBSNews @realDonaldTrump Yes it is and you Donald continuously & wrongly spoke out against our military and leaders.";https://twitter.com/austinntx2016/status/797964700847898624
c3f37afa9efcf94b;PetsVoteToo;2016-11-14 01:45;"Ryan consolidating his position as President. @realDonaldTrump just an idiot puppet. https:// twitter.com/politico/statu s/797962779474870272 …";https://twitter.com/PetsVoteToo/status/797963519715119105
