place;username;date;text;permalink
7d62cffe6f98f349;jacob00001;2016-11-07 00:32;"Even Dem Sen Feinstein surprised at Comey this is so Disgusting & Sick our Breave President can FIX all this Garbage Vote @realDonaldTrump";https://twitter.com/jacob00001/status/795408626139598848
7d62cffe6f98f349;Prophetic_Idiot;2016-11-07 00:27;"@realDonaldTrump New Campaign Rally song for Donald Trump https:// youtu.be/hLMs_e-K-YI #TrumpNasty";https://twitter.com/Prophetic_Idiot/status/795407333706731521
7d62cffe6f98f349;jacob00001;2016-11-07 00:25;"SO Sick & Disgusting FBI Close Probe on Sund one day before Election our Brave Hero @realDonaldTrump & Congress need to investigate ASAP.";https://twitter.com/jacob00001/status/795406878985449472
7d62cffe6f98f349;jacob00001;2016-11-07 00:22;"The Whole Gov is Corrupted Specially FBI, DOJ & WH they said after election and now BINGO ITS DONE its CLOSED on Sunday @realDonaldTrump";https://twitter.com/jacob00001/status/795406113235550208
7d62cffe6f98f349;jacob00001;2016-11-07 00:07;"Comey said this Probe is very complicated & will end after Election What Happend, its done it is over Closed What Happend? @realDonaldTrump";https://twitter.com/jacob00001/status/795402163484704768
7d62cffe6f98f349;jacob00001;2016-11-06 23:59;"I think Comey is very Corrupted Now he should Resign immediately @realDonaldTrump & Congress Needs to ask for Comey to Resign immediately";https://twitter.com/jacob00001/status/795400352681996289
7d62cffe6f98f349;jacob00001;2016-11-06 23:51;"A Private investigation probe is Needed to investigate Hillary's Emails FBI & DOJ are Corrupted @realDonaldTrump Needs to Follow up";https://twitter.com/jacob00001/status/795398250786234368
7d62cffe6f98f349;jacob00001;2016-11-06 23:49;"looks like DOJ Won over FBI Both Corrupted people can't be trusted DOJ & FBI @realDonaldTrump & @mike_pence NO Justice should investigate.";https://twitter.com/jacob00001/status/795397700124446720
7d62cffe6f98f349;AthenaLetsDoDis;2016-11-06 22:42;"@koons_rob @FoxNews @realDonaldTrump Protesters will exist! Gentleman appears decent Person who yelled gun shouldn't have! Shouldn't spread rumors without having actual facts!";https://twitter.com/AthenaLetsDoDis/status/795380760765034496
7d62cffe6f98f349;AthenaLetsDoDis;2016-11-06 22:41;"@rossmoore73 @FoxNews @realDonaldTrump Protesters will exist! Gentleman appears decent Person who yelled gun shouldn't have! Shouldn't spread rumors without having actual facts!";https://twitter.com/AthenaLetsDoDis/status/795380505122217984
7d62cffe6f98f349;KimJobke;2016-11-06 22:38;"@FoxNews @seanhannity @AnnCoulter @realDonaldTrump @Trump @DonaldJTrumpJr @heisaloser https:// twitter.com/usrealitycheck /status/795375547648004096 …";https://twitter.com/KimJobke/status/795379968632991744
7d62cffe6f98f349;KimJobke;2016-11-06 22:36;"@realDonaldTrump @Trump @DonaldJTrumpJr @FoxNews @seanhannity @AnnCoulter https:// twitter.com/therickydavila /status/795374408747667457 …";https://twitter.com/KimJobke/status/795379477207363584
7d62cffe6f98f349;jennsophiaa;2016-11-06 22:35;"on a similar note, why did @realDonaldTrump so desperately try to push his trial to February (post-inauguration) if he is so innocent";https://twitter.com/jennsophiaa/status/795379210344800256
7d62cffe6f98f349;GreenEyeReality;2016-11-06 22:12;"#Clump @realDonaldTrump @HillaryClinton now that's funny pic.twitter.com/ucFgCNxXMJ";https://twitter.com/GreenEyeReality/status/795373203891752960
7d62cffe6f98f349;PissedLeftie;2016-11-06 20:49;". @realDonaldTrump can't even be trusted with a Twitter account, yet almost 45% want to give him the nuclear codes? Ashamed. #NeverTrump https:// twitter.com/thehill/status /795348287943491584 …";https://twitter.com/PissedLeftie/status/795352404011032577
7d62cffe6f98f349;terracotta05;2016-11-06 07:31;"Keep the Faith. God is on your side. We are as well. Victory is in the air! You are doing God's will. @realDonaldTrump @mike_pence pic.twitter.com/CLhvBLs6AH";https://twitter.com/terracotta05/status/795151711543267328
7d62cffe6f98f349;terracotta05;2016-11-06 07:17;"@WestJournalism @realDonaldTrump @seanhannity pic.twitter.com/vHxUTe4QxJ";https://twitter.com/terracotta05/status/795148142438006788
7d62cffe6f98f349;terracotta05;2016-11-06 07:13;"Chelsea,really think abt UR children&save yourself from harm.They need U @ChelseaClinton @realDonaldTrump @seanhannity @JudgeJeanine pic.twitter.com/7yUfMlotC3";https://twitter.com/terracotta05/status/795147067840569344
7d62cffe6f98f349;terracotta05;2016-11-06 07:09;"I feel sad 4U,bcs UR mother seems 2 have HATE2 let these menDIE @WestJournalism @ChelseaClinton @realDonaldTrump @seanhannity @JudgeJeanine pic.twitter.com/7F0gtMiUJi";https://twitter.com/terracotta05/status/795145974733647872
7d62cffe6f98f349;LuisKingBey;2016-11-06 06:27;"I HATE EVERYTHING TRUMP STANDS FOR @realDonaldTrump pic.twitter.com/8nid1pF5te";https://twitter.com/LuisKingBey/status/795135606464483328
7d62cffe6f98f349;BlondeAmbtn;2016-11-06 05:49;"@realDonaldTrump just claimed he had very little debt with his business what about those bankruptcies? We can not these lie pass #VOTE";https://twitter.com/BlondeAmbtn/status/795125888752832512
7d62cffe6f98f349;jacob00001;2016-11-06 05:17;"@realDonaldTrump is the Only Candidate who is Self Funding No Lobbyist, No Control, No Favors, No Gov for Sale & No Dems Corruption";https://twitter.com/jacob00001/status/795117786351562752
7d62cffe6f98f349;TweeterSteele;2016-11-06 04:48;"Would it be so crass to run a poll asking the average person how many ball hair's @realDonaldTrump has left? @RealGabbyHayes";https://twitter.com/TweeterSteele/status/795110701874429952
7d62cffe6f98f349;terracotta05;2016-11-06 02:24;"HRCwouldn't save these BRAVE men,she won't care a lick abt U,UR family R country @JudgeJeanine @realDonaldTrump @Judgenap @GenFlynn @POTUS pic.twitter.com/IBGh7MWwiV";https://twitter.com/terracotta05/status/795074336533032960
7d62cffe6f98f349;terracotta05;2016-11-06 02:20;"Judge,O wantsHRC 2 win bcs she carries on his failed anti policy.They put in @JudgeJeanine @realDonaldTrump @Judgenap @GenFlynn @POTUS pic.twitter.com/hT1dTF4FVh";https://twitter.com/terracotta05/status/795073306663653376
7d62cffe6f98f349;red13roses;2016-11-06 01:30;"@realDonaldTrump WRONG again! https:// twitter.com/nowthisnews/st atus/795003179377143808 …";https://twitter.com/red13roses/status/795060779410034688
7d62cffe6f98f349;kdusc;2016-11-06 00:51;"@politico @realDonaldTrump @HillaryClinton Now that is the real Donald. Scum.";https://twitter.com/kdusc/status/795051027347058688
7d62cffe6f98f349;red13roses;2016-11-05 20:08;"IDIOT! @realDonaldTrump he CAN be more than what you claim! #noclue #TrumpBaby https:// twitter.com/CNN/status/794 938724471672832 …";https://twitter.com/red13roses/status/794979841657311232
7d62cffe6f98f349;deldelmarks;2016-11-05 19:13;"@parscale @KatrinaPierson @realDonaldTrump this man just ate a bridge he will be a great cabinet dude pic.twitter.com/fTk0BFQlHo";https://twitter.com/deldelmarks/status/794965759415894020
7d62cffe6f98f349;Sharkluvr;2016-11-05 16:34;"@tfpoor @ImmoralReport that filthy JZ language only bothers @HillaryClinton if @realDonaldTrump says it. Hypocrite!@LisaTomaino";https://twitter.com/Sharkluvr/status/794925749375373312
7d62cffe6f98f349;jonjayh;2016-11-05 16:24;"Who is Joe Piscopo, @realDonaldTrump";https://twitter.com/jonjayh/status/794923350749429766
7d62cffe6f98f349;huladawn;2016-11-05 16:16;"@POTUS @FLOTUS @VP @HillaryClinton @realDonaldTrump @GovGaryJohnson @timkaine #HonorTheTreaties #TheWorldIsWatching pic.twitter.com/VLEJreoa24";https://twitter.com/huladawn/status/794921303719301121
7d62cffe6f98f349;terracotta05;2016-11-05 13:39;"OnceUR President&Vice President,bring Respect,Admiration, Military strength,&Honor back2this great Nation @realDonaldTrump @mike_pence pic.twitter.com/GFmwM5YCEg";https://twitter.com/terracotta05/status/794881734676398080
7d62cffe6f98f349;terracotta05;2016-11-05 13:33;"After all this nightmare of Clintons/Obama lying2 Americans,we must change trajectory of R Bring 2Glory @realDonaldTrump @mike_pence pic.twitter.com/UecUtc6rgS";https://twitter.com/terracotta05/status/794880313142886401
7d62cffe6f98f349;terracotta05;2016-11-05 13:28;"Good Morning Trump/Pence is R hope 4Real change2save R America from Obama/Clinton socialism #Make greatagain @realDonaldTrump @mike_pence pic.twitter.com/rweeHFs4aC";https://twitter.com/terracotta05/status/794879169582616576
7d62cffe6f98f349;terracotta05;2016-11-05 05:21;"The Unreported Weirdness of Hillary Clinton http://www. dailywire.com/news/10505/unr eported-weirdness-hillary-clinton-ben-shapiro?utm_source=dwemail&utm_medium=email&utm_content=110416-news&utm_campaign=position4-share#.WB1eGT3RRc8.twitter … @realDonaldTrump";https://twitter.com/terracotta05/status/794756422319751168
7d62cffe6f98f349;deldelmarks;2016-11-05 01:57;"@realDonaldTrump put this pic up n only room for 20 more pic.twitter.com/rXkr8Xr2UY";https://twitter.com/deldelmarks/status/794705215979036672
7d62cffe6f98f349;ShahrZarr;2016-11-05 01:13;"@BernieSanders @realDonaldTrump Refer ur ? to House & Senate. 1st term not reelect obama, 2nd nothing should pass. Ask McConnell &H speaker";https://twitter.com/ShahrZarr/status/794694170191331328
7d62cffe6f98f349;jacob00001;2016-11-04 23:15;"Lying Hypocrite Obama says today on Wolf CNN investigators should Not be Politicized What about DOJ Lynch? SO SICK Vote @realDonaldTrump";https://twitter.com/jacob00001/status/794664358647197697
7d62cffe6f98f349;jacob00001;2016-11-04 23:06;"Elijah Cummings a Dishonest Crook @realDonaldTrump OUR Next GREAT President";https://twitter.com/jacob00001/status/794662224203628544
7d62cffe6f98f349;jacob00001;2016-11-04 22:03;"Pedesta & Richardson good buddies & Good Crooks our Next President @realDonaldTrump can Follow up and FIX";https://twitter.com/jacob00001/status/794646360859426816
7d62cffe6f98f349;terracotta05;2016-11-04 18:19;"Hello?R U ready 2 make these crooks ACCOUNTABLE? ️ @TGowdySC @jasoninthehouse @AnnCoulter @realDonaldTrump @Judgenap @JudgeJeanine @AP pic.twitter.com/oFi8AJYCNc";https://twitter.com/terracotta05/status/794589882710560770
7d62cffe6f98f349;terracotta05;2016-11-04 18:14;"@TeddyUKIPClark @helen1111 @19mile62 @AnnCoulter @realDonaldTrump @Judgenap @JudgeJeanine Y is Soros not prosecuted4 causing havoc?He pic.twitter.com/ZX6XBLElF8";https://twitter.com/terracotta05/status/794588599501000706
7d62cffe6f98f349;lmbarker;2016-11-04 17:12;"Melania's speech on #cyberbullying was an epic subtweet to @realDonaldTrump well played!";https://twitter.com/lmbarker/status/794573149262073856
7d62cffe6f98f349;terracotta05;2016-11-04 16:45;"Isn't it time 2get a GrandJury &keep HRC away fromWH PLEASE @newtgingrich @realDonaldTrump @JudgeJeanine @Judgenap @MayorRGiuliani pic.twitter.com/keikkkUFPL";https://twitter.com/terracotta05/status/794566354854518784
7d62cffe6f98f349;terracotta05;2016-11-04 16:39;"@Rambobiggs @CarolCpokes3 @realDonaldTrump @JudgeJeanine @Judgenap Hillary is 2AMERICA.Unstable,sociopathicLIAR,whoIS HELLBENT pic.twitter.com/j86TqshmHX";https://twitter.com/terracotta05/status/794564639602262016
7d62cffe6f98f349;terracotta05;2016-11-04 06:29;"Goodnight all.Pray4 a TRUMP/PENCE victory.They will DRAIN SWAMP @POTUS @realDonaldTrump @RealBenCarson @Judgenap @JudgeJeanine @seanhannity pic.twitter.com/yh3J4797xH";https://twitter.com/terracotta05/status/794411138817486848
7d62cffe6f98f349;terracotta05;2016-11-04 06:27;"God BlessR Military&their families.God BlessTRUMP/PENCE4 ️ @POTUS @realDonaldTrump @RealBenCarson @Judgenap @JudgeJeanine @seanhannity pic.twitter.com/XwPzrIzzES";https://twitter.com/terracotta05/status/794410626269351936
7d62cffe6f98f349;terracotta05;2016-11-04 06:22;"UR legacy is null and void.UR a feckless fraud,an EPIC Failure @POTUS @realDonaldTrump @RealBenCarson @Judgenap @JudgeJeanine @seanhannity pic.twitter.com/jBYr8G4Uh1";https://twitter.com/terracotta05/status/794409355504300032
7d62cffe6f98f349;terracotta05;2016-11-04 06:15;"Obama,UR seriously in trouble.Using race card 2 promote HRC IS @POTUS @realDonaldTrump @RealBenCarson @Judgenap @JudgeJeanine @seanhannity pic.twitter.com/OJsST1GzzZ";https://twitter.com/terracotta05/status/794407634103242752
7d62cffe6f98f349;terracotta05;2016-11-04 06:11;"U associated Trump KKK UR nothing but a RadicalSocialistLOSER @POTUS @realDonaldTrump @RealBenCarson @Judgenap @JudgeJeanine @seanhannity pic.twitter.com/haYVoQlN7X";https://twitter.com/terracotta05/status/794406784878268416
7d62cffe6f98f349;Dowdytalk;2016-11-04 00:26;"@realDonaldTrump @tigerbeat You might reconsider: you're mental, Donnie Boy.";https://twitter.com/Dowdytalk/status/794319905361260544
7d62cffe6f98f349;Hassanpfeffer;2016-11-03 22:51;"@LawyerRogelio Milania, start with @realDonaldTrump";https://twitter.com/Hassanpfeffer/status/794296018871271424
7d62cffe6f98f349;jacob00001;2016-11-03 21:21;"@realDonaldTrump @mike_pence @Reince I called Santa Clara Register of Vote not helpful to send Mail Ballots to my kids Vote very Disgusting";https://twitter.com/jacob00001/status/794273367985508352
7d62cffe6f98f349;pnwguy80;2016-11-03 20:25;"@realDonaldTrump @RonPaulcom really ron paul followers? Thats a fall from grace";https://twitter.com/pnwguy80/status/794259341612236801
7d62cffe6f98f349;jacob00001;2016-11-03 20:12;"Little Marco losing may be he can respect @realDonaldTrump next time also MaCain & Kaisich will go also I hope https:// twitter.com/foxnews/status /794253361088315392 …";https://twitter.com/jacob00001/status/794256028753768448
7d62cffe6f98f349;jacob00001;2016-11-03 20:08;"Obama shooting his big mouth not working at WH big Ears closed big mouth Open @realDonaldTrump OUR Great next President God Bless";https://twitter.com/jacob00001/status/794255021940408321
7d62cffe6f98f349;jacob00001;2016-11-03 20:06;"@FoxNews Shepard Smith lousy Garbage Dishonest Liar saying Hillary is wining He is A SICK Man belongs to CNN Sewer, VOTE @realDonaldTrump";https://twitter.com/jacob00001/status/794254375959064576
7d62cffe6f98f349;terracotta05;2016-11-03 17:54;"Good Morning,I share this bcs needed 2 hear this. Keep the Faith @realDonaldTrump http://www. youtube.com/watch?v=YaxGNQ E5ZLA&sns=tw … via @youtube pic.twitter.com/taAE9Xsj8I";https://twitter.com/terracotta05/status/794221118533947392
7d62cffe6f98f349;NewmanJustice07;2016-11-03 16:25;"@Mr_Nielsen_5309 YOU DO NOT SPEAK FOR EVERYONE! @realDonaldTrump is an ignorant, lying, corrupted, racist, dumb as fuck babbling clown. pic.twitter.com/O2ZPHtcV8v";https://twitter.com/NewmanJustice07/status/794198852286836736
7d62cffe6f98f349;KimJobke;2016-11-03 10:07;"@Muff_Murphy @SkyNews @HillaryClinton @realDonaldTrump u live in England";https://twitter.com/KimJobke/status/794103694950178816
7d62cffe6f98f349;KimJobke;2016-11-03 09:08;"@Muff_Murphy @SkyNews @HillaryClinton @realDonaldTrump Yes";https://twitter.com/KimJobke/status/794088782194614272
7d62cffe6f98f349;KimJobke;2016-11-03 09:07;"@HicketyDickety @NBCNews @realDonaldTrump this has turned into a game for him..all hail trump. If he looses he will not except it. Crazy pic.twitter.com/eulDg6067E";https://twitter.com/KimJobke/status/794088633561034752
7d62cffe6f98f349;KimJobke;2016-11-03 08:10;"@SkyNews @HillaryClinton @realDonaldTrump Hillary Clinton. I don't trust trump he is a big talker";https://twitter.com/KimJobke/status/794074166840344576
7d62cffe6f98f349;terracotta05;2016-11-03 07:48;"@realDonaldTrump @WestJournalism pic.twitter.com/u4Y1jT4DT4";https://twitter.com/terracotta05/status/794068800303874048
7d62cffe6f98f349;terracotta05;2016-11-03 07:11;"LynchUR a part of this @JudgeJeanine @Judgenap @realDonaldTrump @MayorRGiuliani @seanhannity @newtgingrich @LorettaLynch @SpeakerRyan pic.twitter.com/2m5FZMYyuA";https://twitter.com/terracotta05/status/794059338352500736
7d62cffe6f98f349;huliganjetta48;2016-11-03 05:56;"@realDonaldTrump tonight: "I love the Cubs. Great team. Great city. I know it, you know it, everybody knows it." #CubsWin";https://twitter.com/huliganjetta48/status/794040601847033856
7d62cffe6f98f349;threedukes;2016-11-03 05:14;"Fucking @FoxNews @MLBONFOX - oh wait, must be @realDonaldTrump 's channel, spewing false info. https:// twitter.com/mlbonfox/statu s/794028482690949120 …";https://twitter.com/threedukes/status/794029997400866816
7d62cffe6f98f349;rmedina1476;2016-11-03 05:03;"@realDonaldTrump Don't get me wrong Donald (Hitler) Trump. It's just your entire Falseness that I cannot stand. Never did.";https://twitter.com/rmedina1476/status/794027177255649280
7d62cffe6f98f349;rmedina1476;2016-11-03 04:58;"#HillaryClinton @realDonaldTrump watch how well (Hitler) has learned from Bush in Florida.";https://twitter.com/rmedina1476/status/794026022567964673
7d62cffe6f98f349;rmedina1476;2016-11-03 04:16;"#HillaryClinton @realDonaldTrump Hail (Hitler) I mean Trump.";https://twitter.com/rmedina1476/status/794015395745144832
7d62cffe6f98f349;rmedina1476;2016-11-03 04:13;"@realDonaldTrump it's no wonder you smell of disinfectant.";https://twitter.com/rmedina1476/status/794014561292599296
7d62cffe6f98f349;rmedina1476;2016-11-03 04:11;"@realDonaldTrump I know it's your dream. pic.twitter.com/e96KYJZwQX";https://twitter.com/rmedina1476/status/794014201970704384
7d62cffe6f98f349;rmedina1476;2016-11-03 04:08;"@realDonaldTrump Wonder how a man feels when he has to make physical contact with people that he finds disgusting. Latinos, Blacks & so on.";https://twitter.com/rmedina1476/status/794013299117473792
7d62cffe6f98f349;jonathankoren;2016-11-03 02:31;"If @Cubs win the #WorldSeries , @realDonaldTrump will be president.";https://twitter.com/jonathankoren/status/793988900834291712
7d62cffe6f98f349;deldelmarks;2016-11-03 00:23;"@realDonaldTrump how can anybody vote against him we need a pussy grabbing dude in the Wh and imagine. 1st lady with monster tits";https://twitter.com/deldelmarks/status/793956628521324544
7d62cffe6f98f349;terracotta05;2016-11-02 23:54;"@WestJournalism @realDonaldTrump @seanhannity @Patriot_Girl_TX pic.twitter.com/qVZoQz9MV3";https://twitter.com/terracotta05/status/793949473114181632
7d62cffe6f98f349;terracotta05;2016-11-02 22:12;"JuanURso blind.SERIOUSLY? I'mDISGUSTEDwith UR attitude.Obama@HRCR @realDonaldTrump @seanhannity @newtgingrich @MayorRGiuliani @TheFive pic.twitter.com/Bog5n6H2Pu";https://twitter.com/terracotta05/status/793923841718263808
7d62cffe6f98f349;terracotta05;2016-11-02 21:41;"Trump/Pence is our only answer to save America&it's citizens.Focus on infrastructure of @realDonaldTrump @seanhannity @DailySignal pic.twitter.com/kzMT3Q71lN";https://twitter.com/terracotta05/status/793915944988880896
7d62cffe6f98f349;terracotta05;2016-11-02 21:36;"PleaseDO NOT VOTE HRC, she will take everything away. VOTE TRUMP/Pence He will save @realDonaldTrump @seanhannity @DailySignal pic.twitter.com/7zgz3ADvBR";https://twitter.com/terracotta05/status/793914683140886528
7d62cffe6f98f349;AthenaLetsDoDis;2016-11-02 17:08;"@realDonaldTrump Unifying Families! Why don't U look into unifying & utilizing hard working non-criminal Mexicans to help build America? https:// twitter.com/nowthisnews/st atus/792879518738288640 …";https://twitter.com/AthenaLetsDoDis/status/793847200476303360
7d62cffe6f98f349;AthenaLetsDoDis;2016-11-02 16:47;"Thank you @POTUS for clarifying sum misconceptions! @realDonaldTrump already tried & convicted @HillaryClinton yet he refuses pay taxes? https:// twitter.com/nowthisnews/st atus/793818953755742209 …";https://twitter.com/AthenaLetsDoDis/status/793842056707780608
7d62cffe6f98f349;Migs1977;2016-11-02 03:32;"@realDonaldTrump shut up. Loser";https://twitter.com/Migs1977/status/793641861017579520
